aktar,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
aldrig,Glädjens blomster,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen
allt,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
ämnar,Och jungfrun hon går i ringen,Sommarpsalm,Barnets föddes i ett stall,Pingst,Glädjens blomster
andar,Glädjens blomster,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen
ängar,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
binder,Och jungfrun hon går i ringen,Sommarpsalm,Barnets föddes i ett stall,Pingst,Glädjens blomster
bland,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
blommorna,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
blomster,Glädjens blomster,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen
blomstra,Glädjens blomster,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen
blomstren,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
blott,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
bort,Och jungfrun hon går i ringen,Sommarpsalm,Barnets föddes i ett stall,Pingst,Glädjens blomster
bräntSom,Pingst,Sommarpsalm,Barnets föddes i ett stall,Och jungfrun hon går i ringen,Glädjens blomster
deras,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
dimmorna,Pingst,Sommarpsalm,Barnets föddes i ett stall,Och jungfrun hon går i ringen,Glädjens blomster
dina,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
doftar,Pingst,Sommarpsalm,Barnets föddes i ett stall,Och jungfrun hon går i ringen,Glädjens blomster
dräkt,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
efter,Och jungfrun hon går i ringen,Sommarpsalm,Barnets föddes i ett stall,Pingst,Glädjens blomster
evigt,Glädjens blomster,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen
fåglar,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
fagra,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
femton,Och jungfrun hon går i ringen,Sommarpsalm,Barnets föddes i ett stall,Pingst,Glädjens blomster
fingrar,Pingst,Sommarpsalm,Barnets föddes i ett stall,Och jungfrun hon går i ringen,Glädjens blomster
fläkt,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
förbliver,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
fördriver,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
förkunna,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
försåtlig,Glädjens blomster,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen
framklingar,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
främst,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
från,Pingst,Sommarpsalm,Barnets föddes i ett stall,Och jungfrun hon går i ringen,Glädjens blomster
friska,Glädjens blomster,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen
fröjd,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
gevär,Och jungfrun hon går i ringen,Sommarpsalm,Barnets föddes i ett stall,Pingst,Glädjens blomster
glada,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
Glädjens,Glädjens blomster,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen
gro!,Glädjens blomster,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen
grönskas,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
gullband,Och jungfrun hon går i ringen,Sommarpsalm,Barnets föddes i ett stall,Pingst,Glädjens blomster
hårdt,Och jungfrun hon går i ringen,Sommarpsalm,Barnets föddes i ett stall,Pingst,Glädjens blomster
hastigt,Och jungfrun hon går i ringen,Sommarpsalm,Barnets föddes i ett stall,Pingst,Glädjens blomster
Herrens,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
himlarnes,Pingst,Sommarpsalm,Barnets föddes i ett stall,Och jungfrun hon går i ringen,Glädjens blomster
hjärtas,Glädjens blomster,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen
hjärtat,Glädjens blomster,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen
Högt,Pingst,Sommarpsalm,Barnets föddes i ett stall,Och jungfrun hon går i ringen,Glädjens blomster
honom,Och jungfrun hon går i ringen,Sommarpsalm,Barnets föddes i ett stall,Pingst,Glädjens blomster
hymn,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
inte,Och jungfrun hon går i ringen,Sommarpsalm,Barnets föddes i ett stall,Pingst,Glädjens blomster
Jord,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
jordens,Glädjens blomster,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen
jungfru,Och jungfrun hon går i ringen,Sommarpsalm,Barnets föddes i ett stall,Pingst,Glädjens blomster
jungfrun,Och jungfrun hon går i ringen,Sommarpsalm,Barnets föddes i ett stall,Pingst,Glädjens blomster
kära,Och jungfrun hon går i ringen,Sommarpsalm,Barnets föddes i ett stall,Pingst,Glädjens blomster
kärastes,Och jungfrun hon går i ringen,Sommarpsalm,Barnets föddes i ett stall,Pingst,Glädjens blomster
Kärlek,Glädjens blomster,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen
klappar,Pingst,Sommarpsalm,Barnets föddes i ett stall,Och jungfrun hon går i ringen,Glädjens blomster
knyt,Och jungfrun hon går i ringen,Sommarpsalm,Barnets föddes i ett stall,Pingst,Glädjens blomster
kostelig,Pingst,Sommarpsalm,Barnets föddes i ett stall,Och jungfrun hon går i ringen,Glädjens blomster
kött,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
kväden,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
land,Pingst,Sommarpsalm,Barnets föddes i ett stall,Och jungfrun hon går i ringen,Glädjens blomster
lilla,Och jungfrun hon går i ringen,Sommarpsalm,Barnets föddes i ett stall,Pingst,Glädjens blomster
ljumma,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
ljus,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
ljuvt,Glädjens blomster,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen
lossar,Och jungfrun hon går i ringen,Sommarpsalm,Barnets föddes i ett stall,Pingst,Glädjens blomster
lundens,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
lycka,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
mull,Glädjens blomster,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen
nådesunder,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
något,Och jungfrun hon går i ringen,Sommarpsalm,Barnets föddes i ett stall,Pingst,Glädjens blomster
natten,Pingst,Sommarpsalm,Barnets föddes i ett stall,Och jungfrun hon går i ringen,Glädjens blomster
örtesängar,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
ovan,Glädjens blomster,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen
över,Pingst,Sommarpsalm,Barnets föddes i ett stall,Och jungfrun hon går i ringen,Glädjens blomster
pingstkvällens,Pingst,Sommarpsalm,Barnets föddes i ett stall,Och jungfrun hon går i ringen,Glädjens blomster
port,Pingst,Sommarpsalm,Barnets föddes i ett stall,Och jungfrun hon går i ringen,Glädjens blomster
prisa,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
rika,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
ringen,Och jungfrun hon går i ringen,Sommarpsalm,Barnets föddes i ett stall,Pingst,Glädjens blomster
rödan,Och jungfrun hon går i ringen,Sommarpsalm,Barnets föddes i ett stall,Pingst,Glädjens blomster
rökelse,Pingst,Sommarpsalm,Barnets föddes i ett stall,Och jungfrun hon går i ringen,Glädjens blomster
rymma,Och jungfrun hon går i ringen,Sommarpsalm,Barnets föddes i ett stall,Pingst,Glädjens blomster
sången,Pingst,Sommarpsalm,Barnets föddes i ett stall,Och jungfrun hon går i ringen,Glädjens blomster
själv,Glädjens blomster,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen
skälmen,Och jungfrun hon går i ringen,Sommarpsalm,Barnets föddes i ett stall,Pingst,Glädjens blomster
skingrar,Pingst,Sommarpsalm,Barnets föddes i ett stall,Och jungfrun hon går i ringen,Glädjens blomster
skogen,Och jungfrun hon går i ringen,Sommarpsalm,Barnets föddes i ett stall,Pingst,Glädjens blomster
skogens,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
skön,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
sköto,Och jungfrun hon går i ringen,Sommarpsalm,Barnets föddes i ett stall,Pingst,Glädjens blomster
smeker,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
smyckat,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
snår,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
solens,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
sommarns,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
sommarro,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
sommartiden,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
sorl,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
sprang,Och jungfrun hon går i ringen,Sommarpsalm,Barnets föddes i ett stall,Pingst,Glädjens blomster
stängda,Pingst,Sommarpsalm,Barnets föddes i ett stall,Och jungfrun hon går i ringen,Glädjens blomster
stiger,Pingst,Sommarpsalm,Barnets föddes i ett stall,Och jungfrun hon går i ringen,Glädjens blomster
stilla,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
stjärnor,Pingst,Sommarpsalm,Barnets föddes i ett stall,Och jungfrun hon går i ringen,Glädjens blomster
stunder:,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
tänt,Pingst,Sommarpsalm,Barnets föddes i ett stall,Och jungfrun hon går i ringen,Glädjens blomster
tiden,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
till,Glädjens blomster,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen
träden,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
vågens,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
vänlig,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
världarnes,Pingst,Sommarpsalm,Barnets föddes i ett stall,Och jungfrun hon går i ringen,Glädjens blomster
vatten,Pingst,Sommarpsalm,Barnets föddes i ett stall,Och jungfrun hon går i ringen,Glädjens blomster
viden,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
vill,Och jungfrun hon går i ringen,Sommarpsalm,Barnets föddes i ett stall,Pingst,Glädjens blomster
vindens,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
visa,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
viska,Glädjens blomster,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen
visst,Glädjens blomster,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen
vitaste,Pingst,Sommarpsalm,Barnets föddes i ett stall,Och jungfrun hon går i ringen,Glädjens blomster
föddes,Barnets föddes i ett stall,Sommarpsalm,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
stall,Barnets föddes i ett stall,Sommarpsalm,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
frälsa,Barnets föddes i ett stall,Sommarpsalm,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
världen,Barnets föddes i ett stall,Sommarpsalm,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
blev,Barnets föddes i ett stall,Sommarpsalm,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
född,Barnets föddes i ett stall,Sommarpsalm,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
himmels,Barnets föddes i ett stall,Sommarpsalm,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
makt,Barnets föddes i ett stall,Sommarpsalm,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
under,Barnets föddes i ett stall,Sommarpsalm,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
därför,Barnets föddes i ett stall,Sommarpsalm,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
alla,Barnets föddes i ett stall,Sommarpsalm,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
glada,Barnets föddes i ett stall,Sommarpsalm,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
sjunga,Barnets föddes i ett stall,Sommarpsalm,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
Jesusbarnets,Barnets föddes i ett stall,Sommarpsalm,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
Ifrån,Barnets föddes i ett stall,Sommarpsalm,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
himlens,Barnets föddes i ett stall,Sommarpsalm,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
rikedom,Barnets föddes i ett stall,Sommarpsalm,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
till,Barnets föddes i ett stall,Sommarpsalm,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
fattigdom,Barnets föddes i ett stall,Sommarpsalm,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
